id,date,open,high,low,close,volume,adjClose
1,2012-03-07,66.489998,66.919998,66.339996,66.68,1069100,60.871443
2,2012-03-08,67.849998,69.040001,67.730003,68.800003,1436900,62.80677
3,2012-03-09,68.690002,69.129997,68.540001,68.989998,1006200,62.980215
4,2012-03-12,68.639999,69.5,68.540001,69.389999,719200,63.345372
5,2012-03-13,69.639999,70.769997,69.620003,70.769997,2876700,64.605156
6,2012-03-14,70.470001,70.800003,70.120003,70.43,2908700,64.294777
7,2012-03-15,70.559998,71.550003,70.5,71.459999,2085400,65.235052
8,2012-03-16,71.739998,72.099998,71.620003,72,1402200,65.728013
9,2012-03-19,71.919998,72.519997,71.559998,72.309998,1144200,66.011006
10,2012-03-20,71.309998,71.839996,71.169998,71.650002,1942500,65.408503
11,2012-03-21,71.300003,71.559998,71.040001,71.239998,1725100,65.034215
12,2012-03-22,70.260002,71.040001,70.209999,70.550003,1771200,64.404326
13,2012-03-23,70.220001,70.540001,69.790001,70.379997,1221900,64.24913
14,2012-03-26,70.760002,71.25,70.709999,71.239998,2349700,65.034215
15,2012-03-27,71.220001,71.260002,70.559998,70.580002,855400,64.431712
16,2012-03-28,71.169998,71.18,69.860001,70.209999,1708800,64.09394
17,2012-03-29,69.160004,69.949997,68.980003,69.849998,1333200,63.7653
18,2012-03-30,69.889999,70.169998,69.650002,69.82,2315300,63.737914
19,2012-04-02,70.190002,71.279999,70.010002,70.970001,1582200,64.787738
20,2012-04-03,70.760002,70.779999,68.949997,69.339996,2088300,63.299724
21,2012-04-04,67.949997,68.300003,66.669998,67.480003,2724600,61.601757
22,2012-04-05,66.110001,67.510002,66.029999,67.370003,3228200,61.501339
23,2012-04-09,65.970001,66.5,65.949997,65.949997,1293300,60.205031
24,2012-04-10,66.129997,66.510002,64.290001,64.57,3884000,58.945247
25,2012-04-11,65.75,66.400002,65.459999,65.919998,2572200,60.177645
26,2012-04-12,66.940002,66.970001,65.199997,65.849998,5235300,60.113743
27,2012-04-13,66.489998,66.510002,64.489998,65.419998,5666500,59.721201
28,2012-04-16,63.869999,64.220001,63.380001,63.73,3275800,58.17842
29,2012-04-17,64.269997,65.129997,63.91,64.949997,2400300,59.292142
30,2012-04-18,65.050003,65.449997,64.809998,64.879997,2567100,59.22824
31,2012-04-19,65,65.550003,64.010002,64.279999,2270500,58.680508
32,2012-04-20,65.290001,65.650002,65.099998,65.220001,3112300,59.538626
33,2012-04-23,64.120003,64.309998,63.5,64.239998,1464400,58.643991
34,2012-04-24,64.639999,65.419998,64.279999,65.150002,3258000,59.474724
35,2012-04-25,65.449997,66.120003,65.330002,65.959999,4945400,60.214162
36,2012-04-26,65.400002,67.25,65.309998,67.160004,3353300,61.309633
37,2012-04-27,66.769997,66.970001,66.480003,66.690002,1179700,60.880574
38,2012-04-30,66.169998,66.529999,65.959999,66.290001,1149700,60.515417
39,2012-05-01,66.199997,66.639999,66.160004,66.43,1291800,60.643221
40,2012-05-02,65.849998,66.07,65.279999,65.839996,1307400,60.104613
41,2012-05-03,65.150002,65.610001,64.5,64.68,3209200,59.045665
42,2012-05-04,63.5,63.810001,62.689999,62.919998,1406700,57.438978
43,2012-05-07,62.630001,63.169998,62.400002,63.130001,3606100,57.630688
44,2012-05-08,62.259998,62.509998,61.290001,62.290001,1685300,56.863861
45,2012-05-09,61.419998,62.43,61.16,62.200001,1823800,56.7817
46,2012-05-10,62.540001,62.630001,61.59,61.799999,2447800,56.416543
47,2012-05-11,62.110001,63.259998,61.98,62.849998,2159000,57.375076
48,2012-05-14,61.98,62.810001,61.830002,62.139999,1809900,56.726926
49,2012-05-15,61.450001,61.939999,60.700001,60.790001,1981200,55.494527
50,2012-05-16,61.02,61.34,60.220001,60.330002,1454400,55.074599
51,2012-05-17,60.709999,60.849998,59.849998,59.860001,1272600,54.64554
52,2012-05-18,59.959999,59.970001,58.349998,58.529999,2768500,53.431396
53,2012-05-21,58.34,58.950001,57.900002,58.790001,1566000,55.059104
54,2012-05-22,59.41,59.759998,58.209999,58.689999,2979300,54.965448
55,2012-05-23,58.529999,58.970001,57.740002,58.799999,2280800,55.068468
56,2012-05-24,58.52,58.599998,57.43,57.700001,1826300,54.038277
57,2012-05-25,57.080002,57.619999,57.009998,57.07,1376500,53.448256
58,2012-05-29,58.73,58.98,57.82,58.220001,1269000,54.525277
59,2012-05-30,57.130001,57.25,56.650002,56.759998,1827200,53.157928
60,2012-05-31,58.049999,58.080002,56.66,57.32,3476000,53.682391
61,2012-06-01,55.689999,56.130001,54.970001,55.240002,2233500,51.734393
62,2012-06-04,55.200001,55.599998,54.830002,55.41,1390600,51.893602
63,2012-06-05,54.91,55.77,54.91,55.689999,2079900,52.155832
64,2012-06-06,56.07,57.529999,56,57.529999,3098800,53.879063
65,2012-06-07,58.040001,58.139999,56.75,56.799999,1284100,53.19539
66,2012-06-08,56.400002,57.369999,56.220001,57.310001,1051200,53.673027
67,2012-06-11,58.700001,58.740002,57.049999,57.110001,1666400,53.485719
68,2012-06-12,57.290001,57.740002,56.34,57.68,1042700,54.019545
69,2012-06-13,57.560001,58.32,57.16,57.580002,1104200,53.925893
70,2012-06-14,57.540001,57.779999,57.119999,57.73,1051000,54.066372
71,2012-06-15,58.34,58.939999,58.040001,58.880001,720200,55.143392
72,2012-06-18,58.580002,59.110001,58.360001,58.84,810200,55.10593
73,2012-06-19,59.93,60.619999,59.82,60.18,1817000,56.360892
74,2012-06-20,60.27,60.68,59.939999,60.299999,899800,56.473275
75,2012-06-21,59.689999,59.790001,57.529999,57.57,1351800,53.916526
76,2012-06-22,57.849998,57.880001,57.240002,57.66,1349900,54.000814
77,2012-06-25,56.259998,56.450001,55.900002,56.279999,1615000,52.70839
78,2012-06-26,56.25,56.720001,56.09,56.509998,1096900,52.923793
79,2012-06-27,56.84,57.290001,56.52,57.220001,885000,53.588739
80,2012-06-28,56.060001,56.279999,55.549999,56.220001,1812400,52.6522
81,2012-06-29,58.580002,59.540001,58.380001,59.360001,1837100,55.592931
82,2012-07-02,60.029999,60.049999,59.360001,60.029999,1795900,56.22041
83,2012-07-03,60.060001,60.73,59.919998,60.73,574100,56.875987
84,2012-07-05,58.349998,59.259998,58.110001,58.82,2327000,55.087199
85,2012-07-06,56.709999,56.93,55.400002,55.759998,3036500,52.221389
86,2012-07-09,55.34,55.540001,54.779999,55.5,1849600,51.977891
87,2012-07-10,55.869999,56.18,55.34,55.560001,2792200,52.034085
88,2012-07-11,56.349998,57.259998,56.330002,56.73,2995000,53.129833
89,2012-07-12,59.200001,59.490002,57.459999,58.400002,11270800,54.693854
90,2012-07-13,58.889999,60.740002,58.880001,60.560001,3834400,56.716778
91,2012-07-16,59.950001,60.299999,59.650002,59.950001,1513400,56.145488
92,2012-07-17,60.290001,61.029999,59.619999,60.939999,3230700,57.07266
93,2012-07-18,60.48,63.220001,60.48,62.32,4734300,58.365084
94,2012-07-19,62.599998,62.880001,62.310001,62.529999,1895400,58.561756
95,2012-07-20,61.810001,62.110001,61.389999,61.529999,1426200,57.625218
96,2012-07-23,59.009998,60.27,58.23,60.07,1811200,56.257872
97,2012-07-24,61.740002,61.849998,60.200001,60.849998,2626200,56.988371
98,2012-07-25,61.810001,62,60.900002,61.27,1050700,57.381719
99,2012-07-26,62.830002,63.82,62.740002,63.599998,2165000,59.563852
100,2012-07-27,64.010002,65.32,63.860001,65.110001,1918500,60.978027
101,2012-07-30,63.759998,64.459999,63.759998,64.290001,2201600,60.210066
102,2012-07-31,64.120003,64.349998,63.34,63.360001,1099300,59.339085
103,2012-08-01,63.84,63.849998,62.59,62.77,1081400,58.786527
104,2012-08-02,62.52,63.18,61.889999,62.18,1079900,58.233969
105,2012-08-03,63.900002,65.160004,63.75,64.849998,1493300,60.734525
106,2012-08-06,65.470001,65.800003,65.239998,65.269997,1125400,61.12787
107,2012-08-07,65.18,65.32,64.75,64.849998,1450000,60.734525
108,2012-08-08,64.870003,65.059998,64.440002,64.660004,1154000,60.556588
109,2012-08-09,64.050003,64.790001,64.019997,64.199997,1439500,60.125774
110,2012-08-10,63.34,64.120003,63.16,64.089996,3372600,60.022754
111,2012-08-13,64.199997,64.589996,63.740002,64.25,1342100,60.172604
112,2012-08-14,64.739998,64.779999,64.120003,64.300003,687600,60.219433
113,2012-08-15,63.700001,64.110001,63.669998,63.959999,578200,59.901007
114,2012-08-16,63.650002,64.629997,63.639999,64.379997,763300,60.294351
115,2012-08-17,63.790001,64.190002,63.610001,64.080002,1212000,60.013394
116,2012-08-20,64.849998,65.019997,64.510002,64.839996,1021200,60.725158
117,2012-08-21,65.809998,66.120003,65.209999,65.459999,1045200,61.305814
118,2012-08-22,64.470001,65.18,64.379997,65.029999,794500,60.903103
119,2012-08-23,64.739998,64.790001,64.139999,64.519997,643300,60.425466
120,2012-08-24,64.160004,64.970001,64.040001,64.790001,525500,60.678335
121,2012-08-27,65.139999,65.870003,64.970001,65.489998,1034200,61.333909
122,2012-08-28,65.160004,65.300003,64.720001,64.93,1416600,60.80945
123,2012-08-29,65.209999,65.510002,64.940002,65.010002,847900,60.884375
124,2012-08-30,65.190002,65.190002,63.970001,64.089996,1033500,60.022754
125,2012-08-31,66.139999,66.25,65.32,65.660004,1235700,61.493126
126,2012-09-04,66.519997,66.529999,65.589996,66.129997,1230000,61.933294
127,2012-09-05,66.889999,67.190002,66.639999,66.75,1772500,62.51395
128,2012-09-06,67.129997,68.389999,67.129997,68.150002,1293100,63.825105
129,2012-09-07,68.220001,68.849998,68.129997,68.779999,1243800,64.415122
130,2012-09-10,68.089996,68.769997,67.959999,68.25,882700,63.918758
131,2012-09-11,68.32,69.419998,68.32,69.129997,1212600,64.742909
132,2012-09-12,70.279999,70.550003,69.989998,70.349998,1199900,65.885487
133,2012-09-13,70.269997,71.459999,69.919998,71.339996,960300,66.812659
134,2012-09-14,71.93,72.5,71.769997,72.029999,747000,67.458873
135,2012-09-17,72.169998,72.43,71.559998,71.830002,566400,67.271568
136,2012-09-18,72.169998,72.980003,72.040001,72.849998,950400,68.226834
137,2012-09-19,72.82,73.18,72.650002,72.900002,762800,68.273664
138,2012-09-20,72.300003,72.620003,71.949997,72.419998,1092400,67.824122
139,2012-09-21,73.779999,73.860001,72.830002,72.900002,1112300,68.273664
140,2012-09-24,72.260002,72.580002,72.080002,72.309998,606000,67.721102
141,2012-09-25,73.209999,73.599998,72.089996,72.120003,1810200,67.543165
142,2012-09-26,70.970001,71.120003,70.550003,70.720001,979600,66.232009
143,2012-09-27,71.32,71.739998,70.769997,71.379997,1327700,66.850121
144,2012-09-28,71.400002,71.620003,70.660004,71.330002,1566700,66.803298
145,2012-10-01,72.110001,72.300003,70.279999,70.629997,2031700,66.147717
146,2012-10-02,71.010002,71.199997,70.269997,70.620003,1301800,66.138357
147,2012-10-03,70.989998,71.330002,70.559998,70.690002,930600,66.203914
148,2012-10-04,69.809998,71.230003,69.529999,71.059998,2147200,66.550429
149,2012-10-05,71.860001,72.18,71.379997,71.779999,1367900,67.224738
150,2012-10-08,71.75,72.050003,71.300003,71.629997,922200,67.084256
151,2012-10-09,70.959999,71.07,69.790001,69.879997,1322100,65.445313
152,2012-10-10,68.989998,69.209999,68.669998,69.050003,2344500,64.667992
153,2012-10-11,69.959999,70.199997,68.980003,69.43,1099900,65.023874
154,2012-10-12,70.550003,71.059998,70.019997,70.540001,1877100,66.063432
155,2012-10-15,71.199997,71.489998,70.709999,71.470001,990100,66.934413
156,2012-10-16,72.510002,72.629997,72.059998,72.410004,1010000,67.814762
157,2012-10-17,71.82,71.980003,71.410004,71.510002,1669600,66.971876
158,2012-10-18,71.25,71.760002,70.540001,70.949997,2072700,66.447409
159,2012-10-19,71.459999,71.489998,70.18,70.209999,2023300,65.754373
160,2012-10-22,70.510002,70.599998,69.239998,69.660004,1956900,65.239281
161,2012-10-23,68.669998,69.970001,68.25,69.690002,2008400,65.267376
162,2012-10-24,72.07,72.470001,70.730003,71.209999,3315700,66.690911
163,2012-10-25,71.550003,71.959999,70.75,70.940002,1377500,66.438049
164,2012-10-26,71.730003,71.949997,70.949997,71.589996,1899100,67.046793
165,2012-10-31,73.260002,73.349998,72.610001,72.900002,992600,68.273664
166,2012-11-01,73.580002,73.93,73.07,73.879997,1095000,69.191468
167,2012-11-02,73.639999,73.639999,72.839996,72.870003,776000,68.245569
168,2012-11-05,72.699997,73.080002,72.330002,72.949997,647800,68.320486
169,2012-11-06,73.339996,73.910004,73.260002,73.760002,607200,69.079087
170,2012-11-07,72.040001,72.370003,71.599998,72.160004,1076900,67.580627
171,2012-11-08,71.599998,71.830002,71.169998,71.209999,703800,66.690911
172,2012-11-09,70.589996,71.209999,70.489998,70.93,1221900,66.428682
173,2012-11-12,70.940002,71.389999,70.57,71.150002,915700,66.634721
174,2012-11-13,71.199997,72.089996,71.040001,71.580002,969000,67.037433
175,2012-11-14,72.07,72.139999,70.919998,71.209999,1228100,66.690911
176,2012-11-15,70.870003,71.160004,70.580002,71.040001,713400,66.531701
177,2012-11-16,71.18,71.440002,70.529999,71.220001,822800,66.700279
178,2012-11-19,72.349998,73.589996,72.309998,73.470001,1049500,68.80749
179,2012-11-20,73.599998,74.379997,73.32,74.360001,1784900,69.641009
180,2012-11-21,74.980003,75.43,74.760002,75.230003,772800,70.4558
181,2012-11-23,76.830002,77.379997,76.790001,77.209999,702800,72.310143
182,2012-11-26,77.370003,77.849998,76.959999,77.830002,770000,72.890799
183,2012-11-27,77.019997,77.279999,76.699997,76.980003,848700,72.094743
184,2012-11-28,76.580002,77.550003,76.43,77.550003,550700,72.62857
185,2012-11-29,78.190002,78.580002,77.730003,78.43,893300,73.452721
186,2012-11-30,78.32,78.660004,77.75,77.989998,1602400,73.040642
187,2012-12-03,79.5,79.709999,79.129997,79.529999,1302600,74.482912
188,2012-12-04,80.080002,80.410004,79.669998,80.129997,1331100,75.044834
189,2012-12-05,79.089996,79.610001,78.720001,78.910004,1956900,73.902263
190,2012-12-06,79.040001,79.480003,78.690002,78.919998,876300,73.911623
191,2012-12-07,79.139999,79.279999,78.559998,78.919998,885100,73.911623
192,2012-12-10,79.120003,79.440002,78.980003,79.43,705300,74.389259
193,2012-12-11,79.730003,80.019997,79.599998,79.82,718500,74.754509
194,2012-12-12,79.919998,80.110001,79.620003,79.75,1212900,74.688952
195,2012-12-13,79.559998,79.790001,78.739998,78.910004,537200,73.902263
196,2012-12-14,79.389999,80.459999,79.300003,80.389999,853600,75.288336
197,2012-12-17,80.129997,80.690002,80.129997,80.639999,726000,75.52247
198,2012-12-18,79.959999,81.209999,79.940002,81.209999,2134400,76.056297
199,2012-12-19,81.209999,81.559998,80.360001,80.489998,1870700,75.381988
200,2012-12-20,80.900002,81.150002,80.540001,81.089996,782200,75.94391
201,2012-12-21,79.739998,80.07,79.330002,79.610001,1144700,74.557837
202,2012-12-24,79.93,80.150002,79.489998,80.099998,325700,75.016739
203,2012-12-26,79.959999,80.669998,79.650002,80.029999,419300,74.951181
204,2012-12-27,80.800003,80.93,79.779999,80.599998,900900,75.485008
205,2012-12-28,79.870003,80.139999,79.360001,79.389999,524700,74.351797
206,2012-12-31,79.620003,80.760002,79.400002,80.379997,1022900,75.278968
207,2013-01-02,82.050003,82.400002,81.489998,82.400002,686500,77.17078
208,2013-01-03,81.300003,81.489998,80.32,80.449997,990000,75.344526
209,2013-01-04,79.980003,80.650002,79.889999,80.419998,1485400,75.316431
210,2013-01-07,79.610001,79.940002,79.470001,79.790001,1193300,74.726414
211,2013-01-08,79.959999,80.099998,78.889999,79.889999,1359800,74.820066
212,2013-01-09,79.510002,80.150002,79.470001,80.050003,1320300,74.969916
213,2013-01-10,80.709999,82.900002,80.010002,82.400002,3014100,77.17078
214,2013-01-11,81.790001,82.190002,81.5,81.779999,2475200,76.590124
215,2013-01-14,81.919998,82,81.43,81.879997,1082100,76.683776
216,2013-01-15,77.720001,78.550003,77.150002,77.550003,4501900,72.62857
217,2013-01-16,77.809998,78.760002,77.769997,78.129997,1411400,73.171756
218,2013-01-17,78.209999,78.339996,77.400002,77.669998,1558300,72.74095
219,2013-01-18,77.610001,77.779999,77,77.379997,1310400,72.469353
220,2013-01-22,77.059998,77.599998,76.739998,77.519997,1442700,72.600467
221,2013-01-23,77.779999,79,77.660004,78.620003,1709300,73.630666
222,2013-01-24,78.57,79,78.330002,78.5,814000,73.518278
223,2013-01-25,80.540001,81.239998,80.389999,80.989998,1365100,75.850257
224,2013-01-28,80.93,80.93,80.290001,80.360001,719000,75.260241
